Name,Country1,Country2,Country3,Country4,Country5,Country6,Language1,Language2,Language3,Language4,Language5,Language6,Gross_revenue,Production1,Production2,Production3,Runtime,Rating,Genre1,Genre2,Genre3,Nums_score,Nums_review,Nums_critic,Story,Director1,Director2,Writer1,Writer2,Star1,Star2,Star3
The Shawshank Redemption,USA,,,,,,English,,,,,,28786657,Castle Rock Entertainment,,,142,R,Drama,,,2236965,7738,225,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,,Stephen King, Frank Darabont,Tim Robbins, Morgan Freeman, Bob Gunton
The Godfather,USA,,,,,,English, Italian, Latin,,,,246120974,Paramount Pictures, Alfran Productions,,175,R,Crime, Drama,,1542452,3726,248,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,,Mario Puzo, Francis Ford Coppola,Marlon Brando, Al Pacino, James Caan
The Godfather: Part II,USA,,,,,,English, Italian, Spanish, Latin, Sicilian,,48035783,Paramount Pictures, The Coppola Company, American Zoetrope,202,R,Crime, Drama,,1078827,964,176,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,,Francis Ford Coppola, Mario Puzo,Al Pacino, Robert De Niro, Robert Duvall
The Dark Knight,USA, UK,,,,,English, Mandarin,,,,,1004934033,Warner Bros., Legendary Entertainment, Syncopy,152,PG-13,Action, Crime, Drama,2207569,6697,421,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,,Jonathan Nolan, Christopher Nolan,Christian Bale, Heath Ledger, Aaron Eckhart
12 Angry Men,USA,,,,,,English,,,,,,576,Orion-Nova Productions,,,96,Approved,Crime, Drama,,654121,1511,140,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,,Reginald Rose, Reginald Rose,Henry Fonda, Lee J. Cobb, Martin Balsam
Schindler's List,USA,,,,,,Latin, English, Hebrew, German, Polish,,322287794,Universal Pictures, Amblin Entertainment,,195,R,Biography, Drama, History,1163376,1758,225,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,,Thomas Keneally, Steven Zaillian,Liam Neeson, Ralph Fiennes, Ben Kingsley
The Lord of the Rings: The Return of the King,New Zealand, USA,,,,,English, Quenya, Old English, Sindarin,,,1142219401,New Line Cinema, WingNut Films, The Saul Zaentz Company,201,PG-13,Adventure, Drama, Fantasy,1582258,3638,351,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,,J.R.R. Tolkien, Fran Walsh,Elijah Wood, Viggo Mortensen, Ian McKellen
Pulp Fiction,USA,,,,,,English, Spanish, French,,,,214179088,Miramax, A Band Apart, Jersey Films,154,R,Crime, Drama,,1752908,2932,285,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,,Quentin Tarantino, Roger Avary,John Travolta, Uma Thurman, Samuel L. Jackson
"The Good, the Bad and the Ugly",Italy, Spain, West Germany,,,,Italian,,,,,,25252481,Produzioni Europee Associate (PEA), Arturo González Producciones Cinematográficas, Constantin Film,161,R,Western,,,660990,1068,206,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,,Luciano Vincenzoni, Sergio Leone,Clint Eastwood, Eli Wallach, Lee Van Cleef
The Lord of the Rings: The Fellowship of the Ring,New Zealand, USA,,,,,English, Sindarin,,,,,887832826,New Line Cinema, WingNut Films, The Saul Zaentz Company,178,PG-13,Action, Adventure, Drama,1595452,5329,334,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,,J.R.R. Tolkien, Fran Walsh,Elijah Wood, Ian McKellen, Orlando Bloom
Fight Club,USA, Germany,,,,,English,,,,,,101187503,Fox 2000 Pictures, Regency Enterprises, Linson Films,139,R,Drama,,,1780595,3651,370,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,,Chuck Palahniuk, Jim Uhls,Brad Pitt, Edward Norton, Meat Loaf
Forrest Gump,USA,,,,,,English,,,,,,678222284,Paramount Pictures,,,142,PG-13,Drama, Romance,,1724781,2260,166,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,,Winston Groom, Eric Roth,Tom Hanks, Robin Wright, Gary Sinise
Inception,USA, UK,,,,,English, Japanese, French,,,,829895144,Warner Bros., Legendary Entertainment, Syncopy,148,PG-13,Action, Adventure, Sci-Fi,1961204,3696,452,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan,,Christopher Nolan,,Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page
Star Wars: Episode V - The Empire Strikes Back,USA,,,,,,English,,,,,,547897454,Lucasfilm,,,124,PG,Action, Adventure, Fantasy,1116525,1191,217,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,,Leigh Brackett, Lawrence Kasdan,Mark Hamill, Harrison Ford, Carrie Fisher
The Lord of the Rings: The Two Towers,New Zealand, USA,,,,,English, Sindarin, Old English,,,,951208089,New Line Cinema, WingNut Films, The Saul Zaentz Company,179,PG-13,Adventure, Drama, Fantasy,1429333,2531,321,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,,J.R.R. Tolkien, Fran Walsh,Elijah Wood, Ian McKellen, Viggo Mortensen
The Matrix,USA,,,,,,English,,,,,,465343787,Warner Bros., Village Roadshow Pictures, Groucho Film Partnership,136,R,Action, Sci-Fi,,1605645,4207,340,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,Lana Wachowski, Lilly Wachowski,Lilly Wachowski, Lana Wachowski,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss
Goodfellas,USA,,,,,,English, Italian,,,,,46879633,Warner Bros.,,,146,R,Biography, Crime, Drama,973192,1251,143,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,,Nicholas Pileggi, Nicholas Pileggi,Robert De Niro, Ray Liotta, Joe Pesci
One Flew Over the Cuckoo's Nest,USA,,,,,,English,,,,,,108997629,Fantasy Films,,,133,R,Drama,,,878172,945,170,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,,Lawrence Hauben, Bo Goldman,Jack Nicholson, Louise Fletcher, Will Sampson
Seven Samurai,Japan,,,,,,Japanese,,,,,,322773,Toho Company,,,207,Not Rated,Action, Adventure, Drama,302161,695,127,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,,Akira Kurosawa, Shinobu Hashimoto,Toshirô Mifune, Takashi Shimura, Keiko Tsushima
Se7en,USA,,,,,,English,,,,,,327333559,Cecchi Gori Pictures, Juno Pix, New Line Cinema,127,R,Crime, Drama, Mystery,1376999,1407,225,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,,Andrew Kevin Walker,,Morgan Freeman, Brad Pitt, Kevin Spacey
Life Is Beautiful,Italy,,,,,,Italian, German, English,,,,230098753,Melampo Cinematografica, Cecchi Gori Group Tiger Cinematografica,,116,PG-13,Comedy, Drama, Romance,594684,1279,164,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,,Vincenzo Cerami, Roberto Benigni,Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini
City of God,Brazil, France, Germany,,,,Portuguese,,,,,,30680793,O2 Filmes, VideoFilmes, Globo Filmes,130,R,Crime, Drama,,677200,986,224,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles, Kátia Lund,Paulo Lins, Bráulio Mantovani,Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele
The Silence of the Lambs,USA,,,,,,English, Latin,,,,,272753884,Strong Heart/Demme Production, Orion Pictures,,118,R,Crime, Drama, Thriller,1211587,1236,218,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,,Thomas Harris, Ted Tally,Jodie Foster, Anthony Hopkins, Lawrence A. Bonney
It's a Wonderful Life,USA,,,,,,English, French,,,,,6130720,Liberty Films (II),,,130,Passed,Drama, Family, Fantasy,382165,926,176,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,,Frances Goodrich, Albert Hackett,James Stewart, Donna Reed, Lionel Barrymore
Star Wars: Episode IV - A New Hope,USA,,,,,,English,,,,,,775512064,Lucasfilm, Twentieth Century Fox,,121,PG,Action, Adventure, Fantasy,1188681,1805,185,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,,George Lucas,,Mark Hamill, Harrison Ford, Carrie Fisher
Saving Private Ryan,USA,,,,,,English, French, German, Czech,,,482349603,DreamWorks, Paramount Pictures, Amblin Entertainment,169,R,Drama, War,,1183696,2550,264,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,,Robert Rodat,,Tom Hanks, Matt Damon, Tom Sizemore
